"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","POP","TOT","MLN_PER","A","1975",13.893,
"AUS","POP","TOT","MLN_PER","A","1976",14.03308,
"AUS","POP","TOT","MLN_PER","A","1977",14.19223,
"AUS","POP","TOT","MLN_PER","A","1978",14.35925,
"AUS","POP","TOT","MLN_PER","A","1979",14.51573,
"AUS","POP","TOT","MLN_PER","A","1980",14.69536,
"AUS","POP","TOT","MLN_PER","A","1981",14.92326,
"AUS","POP","TOT","MLN_PER","A","1982",15.18425,
"AUS","POP","TOT","MLN_PER","A","1983",15.39347,
"AUS","POP","TOT","MLN_PER","A","1984",15.57939,
"AUS","POP","TOT","MLN_PER","A","1985",15.78831,
"AUS","POP","TOT","MLN_PER","A","1986",16.01835,
"AUS","POP","TOT","MLN_PER","A","1987",16.26387,
"AUS","POP","TOT","MLN_PER","A","1988",16.53216,
"AUS","POP","TOT","MLN_PER","A","1989",16.81442,
"AUS","POP","TOT","MLN_PER","A","1990",17.06513,
"AUS","POP","TOT","MLN_PER","A","1991",17.28404,
"AUS","POP","TOT","MLN_PER","A","1992",17.479,
"AUS","POP","TOT","MLN_PER","A","1993",17.635,
"AUS","POP","TOT","MLN_PER","A","1994",17.805,
"AUS","POP","TOT","MLN_PER","A","1995",18.005,
"AUS","POP","TOT","MLN_PER","A","1996",18.225,
"AUS","POP","TOT","MLN_PER","A","1997",18.423,
"AUS","POP","TOT","MLN_PER","A","1998",18.608,
"AUS","POP","TOT","MLN_PER","A","1999",18.812,
"AUS","POP","TOT","MLN_PER","A","2000",19.029,
"AUS","POP","TOT","MLN_PER","A","2001",19.275,
"AUS","POP","TOT","MLN_PER","A","2002",19.495,
"AUS","POP","TOT","MLN_PER","A","2003",19.721,
"AUS","POP","TOT","MLN_PER","A","2004",19.933,
"AUS","POP","TOT","MLN_PER","A","2005",20.177,
"AUS","POP","TOT","MLN_PER","A","2006",20.451,
"AUS","POP","TOT","MLN_PER","A","2007",20.828,
"AUS","POP","TOT","MLN_PER","A","2008",21.249,
"AUS","POP","TOT","MLN_PER","A","2009",21.692,
"AUS","POP","TOT","MLN_PER","A","2010",22.032,
"AUS","POP","TOT","MLN_PER","A","2011",22.34,
"AUS","POP","TOT","MLN_PER","A","2012",22.728,
"AUS","POP","TOT","MLN_PER","A","2013",23.126,
"AUS","POP","TOT","MLN_PER","A","2014",23.491,
"AUT","POP","TOT","MLN_PER","A","1975",7.578902,
"AUT","POP","TOT","MLN_PER","A","1976",7.565525,
"AUT","POP","TOT","MLN_PER","A","1977",7.56843,
"AUT","POP","TOT","MLN_PER","A","1978",7.562304,
"AUT","POP","TOT","MLN_PER","A","1979",7.549424,
"AUT","POP","TOT","MLN_PER","A","1980",7.549432,
"AUT","POP","TOT","MLN_PER","A","1981",7.56871,
"AUT","POP","TOT","MLN_PER","A","1982",7.574139,
"AUT","POP","TOT","MLN_PER","A","1983",7.56191,
"AUT","POP","TOT","MLN_PER","A","1984",7.561434,
"AUT","POP","TOT","MLN_PER","A","1985",7.564984,
"AUT","POP","TOT","MLN_PER","A","1986",7.569794,
"AUT","POP","TOT","MLN_PER","A","1987",7.574585,
"AUT","POP","TOT","MLN_PER","A","1988",7.585317,
"AUT","POP","TOT","MLN_PER","A","1989",7.619566,
"AUT","POP","TOT","MLN_PER","A","1990",7.67785,
"AUT","POP","TOT","MLN_PER","A","1991",7.75489,
"AUT","POP","TOT","MLN_PER","A","1992",7.840709,
"AUT","POP","TOT","MLN_PER","A","1993",7.905632,
"AUT","POP","TOT","MLN_PER","A","1994",7.936117,
"AUT","POP","TOT","MLN_PER","A","1995",7.948278,
"AUT","POP","TOT","MLN_PER","A","1996",7.959016,
"AUT","POP","TOT","MLN_PER","A","1997",7.968041,
"AUT","POP","TOT","MLN_PER","A","1998",7.976788,
"AUT","POP","TOT","MLN_PER","A","1999",7.992323,
"AUT","POP","TOT","MLN_PER","A","2000",8.011566,
"AUT","POP","TOT","MLN_PER","A","2001",8.042293,
"AUT","POP","TOT","MLN_PER","A","2002",8.082121,
"AUT","POP","TOT","MLN_PER","A","2003",8.118245,
"AUT","POP","TOT","MLN_PER","A","2004",8.169441,
"AUT","POP","TOT","MLN_PER","A","2005",8.225278,
"AUT","POP","TOT","MLN_PER","A","2006",8.267948,
"AUT","POP","TOT","MLN_PER","A","2007",8.295189,
"AUT","POP","TOT","MLN_PER","A","2008",8.321541,
"AUT","POP","TOT","MLN_PER","A","2009",8.341483,
