"region","country_iso3","city","year","registrations","exams","units_sold","jr_case1","jr_case2","jr_case3","jr_case4","jr_case5"
9,"AFG","Kabul",1972,NA,NA,113146.88,0,0,0,0,0
9,"AFG","Kabul",1973,NA,NA,122199.724137931,0,0,0,0,0
9,"AFG","Kabul",1974,NA,NA,146190.967741935,0,0,0,0,0
9,"AFG","Kabul",1975,NA,NA,204092,0,0,0,0,0
9,"AFG","Kabul",1976,NA,NA,249711.4,0,0,0,0,0
9,"AFG","Kabul",1977,NA,NA,122659.733333333,0,0,0,0,0
9,"AFG","Kabul",1978,NA,NA,317276.928571429,0,0,0,0,0
9,"AFG","Kabul",1979,NA,NA,140858.260869565,0,0,0,0,0
9,"AFG","Kabul",1980,NA,NA,80722.7272727273,0,0,0,0,0
9,"AFG","Kabul",1981,NA,NA,62341.2727272727,0,0,0,0,0
9,"AFG","Kabul",1982,NA,NA,66986.6666666667,0,0,0,0,0
9,"AFG","Kabul",1983,NA,NA,57380.4,0,0,0,0,0
9,"AFG","Kabul",1984,NA,NA,46280.1818181818,0,0,0,0,0
9,"AFG","Kabul",1985,NA,NA,50407.2727272727,0,0,0,0,0
9,"AFG","Kabul",1986,NA,11,44057.2,0,0,0,0,0
9,"AFG","Kabul",1987,NA,17,49534.6666666667,0,0,0,0,0
9,"AFG","Kabul",1988,NA,5,62739.6,0,0,0,0,0
9,"AFG","Kabul",2004,1223,NA,95222.78,0,0,0,0,0
9,"AFG","Kabul",2005,1282,4,98714,0,0,0,0,0
9,"AFG","Kabul",2006,1383,13,86631,0,0,0,0,0
9,"AFG","Kabul",2007,2055,40,159740.818965517,0,0,0,0,0
9,"AFG","Kabul",2008,3252,1029,268639.036649215,0,0,0,0,0
9,"AFG","Kabul",2009,2689,739,201189,0,0,0,0,0
9,"AFG","Kabul",2010,2027,600,169125,0,0,0,0,0
9,"AFG","Kabul",2011,1587,791,203750,0,0,0,0,0
9,"AFG","Kabul",2012,1595,771,195002,0,0,0,0,0
9,"AFG","Kabul",2013,1560,910,193600,0,0,0,0,0
9,"AFG","Kabul",2014,1600,900,221000,0,0,0,0,0
5,"ARE","Abu Dhabi",2006,164,7,8597,0,0,1,0,0
5,"ARE","Abu Dhabi",2007,368,21,12349.1147540984,0,0,0,0,0
5,"ARE","Abu Dhabi",2008,431,35,18074.1935483871,0,0,0,0,0
5,"ARE","Abu Dhabi",2009,677,411,20831,0,0,0,0,0
5,"ARE","Abu Dhabi",2010,881,109,35916,0,0,0,0,0
5,"ARE","Abu Dhabi",2011,819,146,38950,0,0,0,0,0
5,"ARE","Abu Dhabi",2012,605,201,35322,0,0,0,0,0
5,"ARE","Abu Dhabi",2013,920,240,37500,0,0,0,0,0
5,"ARE","Abu Dhabi",2014,800,300,53000,0,0,0,0,0
5,"ARE","Dubai",2007,261,7,13137,0,0,0,0,0
5,"ARE","Dubai",2008,425,28,20391.5,0,0,0,0,0
5,"ARE","Dubai",2009,584,1646,24490,0,0,0,0,0
5,"ARE","Dubai",2010,407,64,20370,0,0,0,0,0
5,"ARE","Dubai",2011,630,100,38950,0,0,0,0,0
5,"ARE","Dubai",2012,779,106,35322,0,0,0,0,0
5,"ARE","Dubai",2013,920,200,41500,0,0,0,0,0
5,"ARE","Dubai",2014,1000,300,48500,0,0,0,0,0
7,"ARG","Buenos Aires",1972,NA,NA,264943.937007874,1,0,0,0,0
7,"ARG","Buenos Aires",1973,NA,NA,275478.919708029,1,0,0,0,0
7,"ARG","Buenos Aires",1974,NA,NA,321246.94214876,1,0,0,0,0
7,"ARG","Buenos Aires",1975,NA,NA,348399.193548387,1,0,0,0,0
7,"ARG","Buenos Aires",1976,NA,NA,353367.619047619,1,0,0,0,0
7,"ARG","Buenos Aires",1977,NA,NA,366873.798449612,1,0,0,0,0
7,"ARG","Buenos Aires",1978,NA,NA,446159.314285714,1,0,0,0,0
7,"ARG","Buenos Aires",1979,NA,NA,422761.174825175,1,0,0,0,0
7,"ARG","Buenos Aires",1980,NA,NA,411780.468965517,1,0,0,0,0
7,"ARG","Buenos Aires",1981,NA,NA,379530.553191489,1,0,0,0,0
7,"ARG","Buenos Aires",1982,NA,NA,327235.2,1,0,0,0,0
7,"ARG","Buenos Aires",1983,NA,NA,309609.230769231,1,0,0,0,0
7,"ARG","Buenos Aires",1984,NA,NA,302192.163265306,1,0,0,0,0
7,"ARG","Buenos Aires",1985,NA,NA,293432.6,0,0,0,0,0
7,"ARG","Buenos Aires",1986,NA,287,307212.992481203,0,0,0,0,0
7,"ARG","Buenos Aires",1987,NA,331,333540.145985401,0,0,0,0,0
7,"ARG","Buenos Aires",1988,NA,253,326106.9,0,0,0,0,0
7,"ARG","Buenos Aires",1989,NA,267,383486.598639456,0,0,0,0,0
7,"ARG","Buenos Aires",1990,5378,501,NA,0,0,0,0,0
7,"ARG","Buenos Aires",1991,4112,28,NA,0,0,0,0,0
7,"ARG","Buenos Aires",1992,3762,418,NA,0,0,0,0,0
7,"ARG","Buenos Aires",1993,3596,353,NA,0,0,0,0,0
7,"ARG","Buenos Aires",1994,2760,114,NA,0,0,0,0,0
7,"ARG","Buenos Aires",1995,2596,138,NA,0,0,0,0,0
7,"ARG","Buenos Aires",1996,2398,307,NA,0,0,0,0,0
7,"ARG","Buenos Aires",1997,2484,288,155606.5,0,0,0,0,0
7,"ARG","Buenos Aires",1998,1916,166,122445.549019608,0,0,0,0,0
7,"ARG","Buenos Aires",1999,2074,313,122448.592920354,0,0,0,0,0
7,"ARG","Buenos Aires",2000,1029,NA,63314.37,0,0,0,0,0
7,"ARG","Buenos Aires",2001,1872,194,108980.281690141,0,0,0,0,0
7,"ARG","Buenos Aires",2002,2125,229,114827.429149798,0,0,0,0,0
7,"ARG","Buenos Aires",2003,2053,143,105205.421940928,0,0,0,0,0
7,"ARG","Buenos Aires",2004,2071,273,103627.6625,0,0,0,0,0
7,"ARG","Buenos Aires",2005,2044,293,100812.098765432,0,0,0,0,0
7,"ARG","Buenos Aires",2006,2417,385,160602,0,0,0,0,0
7,"ARG","Buenos Aires",2007,2263,1307,148280.380952381,0,0,0,0,0
7,"ARG","Buenos Aires",2008,2296,812,151809.834862385,0,0,0,0,0
7,"ARG","Buenos Aires",2009,2384,741,141854,0,0,0,0,0
