"country_iso3","year","registrations"
"AFG",1966,162
"AGO",1966,2
"ALB",1966,0
"AND",1966,0
"ANHH",1966,0
"ARE",1966,0
"ARG",1966,69
"ARM",1966,NA
"ATG",1966,NA
"AUS",1966,37
"AUT",1966,2
"AZE",1966,NA
"BDI",1966,NA
"BEL",1966,98
"BEN",1966,1
"BFA",1966,0
"BGD",1966,NA
"BGR",1966,12
"BHR",1966,NA
"BHS",1966,NA
"BIH",1966,NA
"BLR",1966,NA
"BLZ",1966,NA
"BMU",1966,0
"BOL",1966,49
"BRA",1966,143
"BRB",1966,0
"BRN",1966,NA
"BTN",1966,0
"BWA",1966,0
"CAF",1966,2
"CAN",1966,162
"CHE",1966,157
"CHL",1966,71
"CHN",1966,1
"CIV",1966,22
"CMR",1966,16
"COD",1966,NA
"COG",1966,NA
"COL",1966,121
"COM",1966,NA
"CONGO",1966,25
"CPV",1966,NA
"CRI",1966,15
"CSHH",1966,18
"CSXX",1966,NA
"CUB",1966,3
"CYP",1966,11
"CZE",1966,NA
"DDDE",1966,0
"DEU",1966,21
"DJI",1966,NA
"DMA",1966,NA
"DNK",1966,39
"DOM",1966,10
"DZA",1966,37
"ECU",1966,61
"EGY",1966,232
"ERI",1966,NA
"ESP",1966,246
"EST",1966,NA
"ETH",1966,30
"FIN",1966,82
"FJI",1966,NA
"FRA",1966,935
"GAB",1966,0
"GBR",1966,282
"GEO",1966,NA
"GHA",1966,112
"GIN",1966,7
"GMB",1966,2
"GNB",1966,NA
"GNQ",1966,NA
"GRC",1966,322
"GRD",1966,NA
"GTM",1966,43
"GUAYA",1966,0
"GUM",1966,0
"COMIS",1966,NA
"HKG",1966,39
"HND",1966,10
"HRV",1966,NA
"HTI",1966,47
"HUN",1966,22
"IDN",1966,249
"IND",1966,203
"IRL",1966,20
"IRN",1966,370
"IRQ",1966,33
"ISL",1966,24
"ISPAL",1966,11
"ISR",1966,0
"ITA",1966,448
"JAM",1966,1
"JOR",1966,114
"JPN",1966,435
"KAZ",1966,NA
"KEN",1966,17
"KGZ",1966,NA
"KHM",1966,6
"KNA",1966,NA
"KOR",1966,190
"KWT",1966,2
"LAO",1966,0
"LBN",1966,48
"LBR",1966,4
"LBY",1966,83
"LCA",1966,NA
"LIE",1966,0
"LKA",1966,11
"LSO",1966,0
"LTU",1966,NA
"LUX",1966,1
"LVA",1966,NA
"MAC",1966,0
"MAR",1966,32
"MCO",1966,0
"MDA",1966,NA
"MDG",1966,27
"MDV",1966,0
"MEX",1966,103
"MKD",1966,NA
"MLI",1966,1
"MLT",1966,0
"MMR",1966,24
"MNE",1966,NA
"MNG",1966,0
"MOZ",1966,2
"MRT",1966,2
"MSR",1966,0
"MTQ",1966,0
"MUS",1966,NA
"MWI",1966,9
"MYS",1966,11
"NAM",1966,0
"NER",1966,3
"NGA",1966,133
"NIC",1966,32
"NLD",1966,8
"NONAT",1966,5
"NOR",1966,52
"NPL",1966,4
"NZL",1966,6
"OMN",1966,0
"PAK",1966,54
"PAN",1966,15
"PER",1966,110
"PHL",1966,37
"PNG",1966,NA
"POL",1966,17
"PRI",1966,0
"PRK",1966,0
"PRT",1966,85
"PRY",1966,17
"PSE",1966,NA
"QAT",1966,NA
"ROU",1966,16
"RUABU",1966,2
"RUS",1966,NA
"RWA",1966,NA
"SAU",1966,88
"SDN",1966,35
"SEN",1966,0
"SGP",1966,4
"SLB",1966,NA
"SLE",1966,21
"SLV",1966,39
"SMR",1966,0
"SOM",1966,38
"SRB",1966,NA
"SSD",1966,NA
"SUHH",1966,4
"SVK",1966,NA
"SVN",1966,NA
"SWE",1966,74
"SWZ",1966,NA
"SYC",1966,NA
"SYR",1966,97
"TCA",1966,0
"TCD",1966,1
"TGO",1966,9
"THA",1966,252
"TJK",1966,NA
"TKM",1966,NA
"TON",1966,NA
"TTO",1966,0
