"region","country_iso3","city","year","status_institute","language","subsidiaries_in","main_institute_in","open1","close1","open2","close2","open3","close3","open_before_1965"
1,"POL","Krakow",2012,3,2,NA,NA,1990,NA,NA,NA,NA,NA,0
1,"CSHH","Prague",1975,0,0,NA,NA,1990,NA,NA,NA,NA,NA,0
1,"YUCS","Ljubljana",1968,0,0,NA,NA,2003,NA,NA,NA,NA,NA,0
1,"EST","Tallinn",2002,3,0,NA,NA,1998,NA,NA,NA,NA,NA,0
1,"CSHH","Prague",1991,3,0,NA,NA,1990,NA,NA,NA,NA,NA,0
1,"HUN","Budapest",2004,3,2,NA,NA,1979,NA,NA,NA,NA,NA,0
1,"SVK","Bratislava",1998,3,2,NA,NA,1991,NA,NA,NA,NA,NA,0
1,"CSHH","Prague",1986,0,0,NA,NA,1990,NA,NA,NA,NA,NA,0
1,"LTU","Vilnius",2001,3,0,NA,NA,1998,NA,NA,NA,NA,NA,0
1,"HUN","Budapest",1988,3,2,NA,NA,1979,NA,NA,NA,NA,NA,0
1,"HUN","Budapest",1972,0,0,NA,NA,1979,NA,NA,NA,NA,NA,0
1,"CZE","Prague",2008,3,2,NA,NA,1990,NA,NA,NA,NA,NA,0
1,"CSHH","Prague",1977,0,0,NA,NA,1990,NA,NA,NA,NA,NA,0
1,"POL","Warsaw",1996,3,2,NA,NA,1990,NA,NA,NA,NA,NA,0
1,"EST","Tallinn",1997,0,0,NA,NA,1998,NA,NA,NA,NA,NA,0
1,"POL","Krakow",2005,3,2,NA,NA,1990,NA,NA,NA,NA,NA,0
1,"SVN","Ljubljana",2013,3,2,NA,NA,2003,NA,NA,NA,NA,NA,0
1,"CZE","Prague",2007,3,2,NA,NA,1990,NA,NA,NA,NA,NA,0
1,"HUN","Budapest",1983,3,2,NA,NA,1979,NA,NA,NA,NA,NA,0
1,"EST","Tallinn",2008,3,0,NA,NA,1998,NA,NA,NA,NA,NA,0
1,"LTU","Vilnius",1997,0,0,NA,NA,1998,NA,NA,NA,NA,NA,0
1,"HUN","Budapest",2000,3,2,NA,NA,1979,NA,NA,NA,NA,NA,0
1,"LTU","Vilnius",1998,3,0,NA,NA,1998,NA,NA,NA,NA,NA,0
1,"LTU","Vilnius",1990,0,0,NA,NA,1998,NA,NA,NA,NA,NA,0
1,"SVN","Ljubljana",1995,0,0,NA,NA,2003,NA,NA,NA,NA,NA,0
1,"POL","Krakow",1984,0,0,NA,NA,1990,NA,NA,NA,NA,NA,0
1,"CSHH","Bratislava",1966,0,0,NA,NA,1991,NA,NA,NA,NA,NA,0
1,"CSHH","Prague",1974,0,0,NA,NA,1990,NA,NA,NA,NA,NA,0
1,"POL","Warsaw",1974,0,0,NA,NA,1990,NA,NA,NA,NA,NA,0
1,"POL","Warsaw",1994,3,2,NA,NA,1990,NA,NA,NA,NA,NA,0
1,"SUHH","Vilnius",1986,0,0,NA,NA,1998,NA,NA,NA,NA,NA,0
1,"SVN","Ljubljana",2008,3,2,NA,NA,2003,NA,NA,NA,NA,NA,0
1,"HUN","Budapest",1966,0,0,NA,NA,1979,NA,NA,NA,NA,NA,0
1,"CSHH","Bratislava",1990,0,0,NA,NA,1991,NA,NA,NA,NA,NA,0
1,"LTU","Vilnius",2008,3,0,NA,NA,1998,NA,NA,NA,NA,NA,0
1,"SUHH","Rio de Janeiro",1984,0,0,NA,NA,1992,NA,NA,NA,NA,NA,0
1,"SUHH","Vilnius",1979,0,0,NA,NA,1998,NA,NA,NA,NA,NA,0
1,"CSHH","Bratislava",1965,0,0,NA,NA,1991,NA,NA,NA,NA,NA,0
1,"SUHH","Rio de Janeiro",1978,0,0,NA,NA,1992,NA,NA,NA,NA,NA,0
1,"SVN","Ljubljana",2007,3,0,NA,NA,2003,NA,NA,NA,NA,NA,0
1,"LVA","Rio de Janeiro",1999,3,2,NA,NA,1992,NA,NA,NA,NA,NA,0
1,"HUN","Budapest",1977,0,0,NA,NA,1979,NA,NA,NA,NA,NA,0
1,"POL","Warsaw",1968,0,0,NA,NA,1990,NA,NA,NA,NA,NA,0
1,"CSHH","Bratislava",1987,0,0,NA,NA,1991,NA,NA,NA,NA,NA,0
1,"CSHH","Bratislava",1974,0,0,NA,NA,1991,NA,NA,NA,NA,NA,0
1,"EST","Tallinn",2013,3,0,NA,NA,1998,NA,NA,NA,NA,NA,0
1,"LTU","Vilnius",1995,0,0,NA,NA,1998,NA,NA,NA,NA,NA,0
1,"POL","Warsaw",1973,0,0,NA,NA,1990,NA,NA,NA,NA,NA,0
1,"SUHH","Rio de Janeiro",1983,0,0,NA,NA,1992,NA,NA,NA,NA,NA,0
1,"LVA","Rio de Janeiro",2014,3,2,NA,NA,1992,NA,NA,NA,NA,NA,0
1,"POL","Warsaw",1988,0,0,NA,NA,1990,NA,NA,NA,NA,NA,0
1,"SVN","Ljubljana",1992,0,0,NA,NA,2003,NA,NA,NA,NA,NA,0
1,"SUHH","Tallinn",1968,0,0,NA,NA,1998,NA,NA,NA,NA,NA,0
1,"POL","Krakow",1993,3,0,NA,NA,1990,NA,NA,NA,NA,NA,0
1,"POL","Warsaw",1965,0,0,NA,NA,1990,NA,NA,NA,NA,NA,0
1,"POL","Warsaw",1999,3,2,NA,NA,1990,NA,NA,NA,NA,NA,0
1,"HUN","Budapest",1976,0,0,NA,NA,1979,NA,NA,NA,NA,NA,0
1,"EST","Tallinn",2000,3,0,NA,NA,1998,NA,NA,NA,NA,NA,0
1,"YUCS","Ljubljana",1974,0,0,NA,NA,2003,NA,NA,NA,NA,NA,0
1,"SUHH","Rio de Janeiro",1969,0,0,NA,NA,1992,NA,NA,NA,NA,NA,0
1,"SVN","Ljubljana",2003,3,0,NA,NA,2003,NA,NA,NA,NA,NA,0
1,"POL","Krakow",1972,0,0,NA,NA,1990,NA,NA,NA,NA,NA,0
1,"CSHH","Prague",1978,0,0,NA,NA,1990,NA,NA,NA,NA,NA,0
1,"SUHH","Tallinn",1981,0,0,NA,NA,1998,NA,NA,NA,NA,NA,0
1,"POL","Krakow",1967,0,0,NA,NA,1990,NA,NA,NA,NA,NA,0
1,"POL","Warsaw",2001,3,2,NA,NA,1990,NA,NA,NA,NA,NA,0
1,"LVA","Rio de Janeiro",2009,3,2,NA,NA,1992,NA,NA,NA,NA,NA,0
1,"POL","Warsaw",2004,3,2,NA,NA,1990,NA,NA,NA,NA,NA,0
1,"EST","Tallinn",2004,3,0,NA,NA,1998,NA,NA,NA,NA,NA,0
1,"HUN","Budapest",1980,3,2,NA,NA,1979,NA,NA,NA,NA,NA,0
1,"SUHH","Vilnius",1983,0,0,NA,NA,1998,NA,NA,NA,NA,NA,0
1,"CZE","Prague",2012,3,2,NA,NA,1990,NA,NA,NA,NA,NA,0
1,"POL","Warsaw",2010,3,2,NA,NA,1990,NA,NA,NA,NA,NA,0
1,"LTU","Vilnius",2005,3,0,NA,NA,1998,NA,NA,NA,NA,NA,0
