country_iso3,year,Population_Value_Mil,Germany_GDP_USD_CAP,Unemployment_Rate,GDP_USD_CAP,EU_dummy,GI_Present,Language_Taught,region,city,registrations,exams,units_sold,jr_case1,jr_case2,jr_case3,jr_case4,jr_case5,country,Migration_Value,wmean_migration,wmean_units_sold
AUS,1991,17.28404,20963.237586,9.576522,18127.919359,0,1,1,8,Melbourne,416,78,0,0,0,0,0,0,Australia,889,6183.052678494069,0
AUS,1991,17.28404,20963.237586,9.576522,18127.919359,0,1,1,8,Sydney,648,38,0,0,0,0,0,0,Australia,889,6183.052678494069,0
AUS,1992,17.479,21710.524297,10.72814,19106.738226,0,1,1,8,Melbourne,348,44,0,0,0,0,0,0,Australia,826,8850.721024777573,0
AUS,1992,17.479,21710.524297,10.72814,19106.738226,0,1,1,8,Sydney,300,17,0,0,0,0,0,0,Australia,826,8850.721024777573,0
AUS,1993,17.635,21893.250105,10.87467,20122.696155,0,1,1,8,Melbourne,328,41,0,0,0,0,0,0,Australia,655,6491.596729810561,0
AUS,1993,17.635,21893.250105,10.87467,20122.696155,0,1,1,8,Sydney,300,9,0,0,0,0,0,0,Australia,655,6491.596729810561,0
AUS,1994,17.805,22851.871124,9.72219,21370.823442,0,1,1,8,Melbourne,282,38,0,0,0,0,0,0,Australia,623,6508.6105234919305,0
AUS,1994,17.805,22851.871124,9.72219,21370.823442,0,1,1,8,Sydney,288,26,0,0,0,0,0,0,Australia,623,6508.6105234919305,0
AUS,1995,18.005,23686.856528,8.472281,22368.47031,0,1,1,8,Melbourne,375,43,0,0,0,0,0,0,Australia,843,4877.890050172836,0
AUS,1995,18.005,23686.856528,8.472281,22368.47031,0,1,1,8,Sydney,291,37,0,0,0,0,0,0,Australia,843,4877.890050172836,0
AUS,1996,18.225,24237.157688,8.506114,23224.596138,0,1,1,8,Melbourne,444,29,0,0,0,0,0,0,Australia,1246,5398.67158422774,0
AUS,1996,18.225,24237.157688,8.506114,23224.596138,0,1,1,8,Sydney,282,29,0,0,0,0,0,0,Australia,1246,5398.67158422774,0
AUS,1997,18.423,24791.779686,8.362488,24402.342917,0,1,1,8,Melbourne,531,25,22739.2941176471,0,0,0,0,0,Australia,1159,4770.064923959719,36132.762293884116
AUS,1997,18.423,24791.779686,8.362488,24402.342917,0,1,1,8,Sydney,519,39,14283.3125,0,0,0,0,0,Australia,1159,4770.064923959719,36132.762293884116
AUS,1998,18.608,25559.155992,7.677429,25620.976195,0,1,1,8,Melbourne,567,16,17947.7307692308,0,0,0,0,0,Australia,914,4403.546205974669,46496.38010574332
AUS,1998,18.608,25559.155992,7.677429,25620.976195,0,1,1,8,Sydney,411,31,13100.625,0,0,0,0,0,Australia,914,4403.546205974669,46496.38010574332
AUS,1999,18.812,26579.739076,6.873791,27085.925497,0,1,1,8,Melbourne,960,16,13788.6567164179,0,0,0,0,0,Australia,894,4340.2598379857245,31885.361088750316
AUS,1999,18.812,26579.739076,6.873791,27085.925497,0,1,1,8,Sydney,405,38,9030.78947368421,0,0,0,0,0,Australia,894,4340.2598379857245,31885.361088750316
AUS,2000,19.029,27546.580953,6.285546,28248.615639,0,1,1,8,Melbourne,726,14,11650.7553191489,0,0,0,0,0,Australia,955,5376.335532391329,43530.18444778052
AUS,2000,19.029,27546.580953,6.285546,28248.615639,0,1,1,8,Sydney,400,45,9049.54128440367,0,0,0,0,0,Australia,955,5376.335532391329,43530.18444778052
AUS,2001,19.275,28790.799027,6.742173,29466.367162,0,1,1,8,Melbourne,1197,22,16469.6318181818,0,0,0,0,0,Australia,1075,6830.575203060849,40783.45354839758
AUS,2001,19.275,28790.799027,6.742173,29466.367162,0,1,1,8,Sydney,500,34,10585.1851851852,0,0,0,0,0,Australia,1075,6830.575203060849,40783.45354839758
AUS,2002,19.495,29654.218685,6.368911,30728.220694,0,1,1,8,Melbourne,1127,21,12219.4340836013,0,0,0,0,0,Australia,1163,6190.644982657147,36755.44960385809
AUS,2002,19.495,29654.218685,6.368911,30728.220694,0,1,1,8,Sydney,434,29,11040.1333333333,0,0,0,0,0,Australia,1163,6190.644982657147,36755.44960385809
AUS,2003,19.721,30350.202733,5.92842,32169.793201,0,1,1,8,Melbourne,1220,19,19821.2345679012,0,0,0,0,0,Australia,1224,3919.6619275358985,37267.32169153882
AUS,2003,19.721,30350.202733,5.92842,32169.793201,0,1,1,8,Sydney,435,21,10514.4594594595,0,0,0,0,0,Australia,1224,3919.6619275358985,37267.32169153882
AUS,2004,19.933,31837.711132,5.396734,33864.600404,0,1,1,8,Melbourne,1139,14,15802.4674796748,0,0,0,0,0,Australia,1345,5273.58805831605,36054.414323995516
AUS,2004,19.933,31837.711132,5.396734,33864.600404,0,1,1,8,Sydney,453,24,11135.0322580645,0,0,0,0,0,Australia,1345,5273.58805831605,36054.414323995516
AUS,2005,20.177,32413.540064,5.033881,35545.426558,0,1,1,8,Melbourne,1105,16,17560.5405405405,0,0,0,0,0,Australia,1422,6831.918730398483,33518.875373378585
AUS,2005,20.177,32413.540064,5.033881,35545.426558,0,1,1,8,Sydney,490,15,9386.5625,0,0,0,0,0,Australia,1422,6831.918730398483,33518.875373378585
AUS,2006,20.451,34753.952042,4.78524,37822.176273,0,1,1,8,Melbourne,1253,19,27501,0,0,0,0,0,Australia,1537,6806.540610908502,43837.33040234378
AUS,2006,20.451,34753.952042,4.78524,37822.176273,0,1,1,8,Sydney,607,33,15430,0,0,0,0,0,Australia,1537,6806.540610908502,43837.33040234378
AUS,2007,20.828,37017.966335,4.379151,39560.693954,0,1,1,8,Melbourne,1400,35,19428.1437125748,0,0,0,0,0,Australia,1674,6009.484398987099,49780.379526298675
AUS,2007,20.828,37017.966335,4.379151,39560.693954,0,1,1,8,Sydney,600,47,12083.4437086093,0,0,0,0,0,Australia,1674,6009.484398987099,49780.379526298675
AUS,2008,21.249,38662.606129,4.23433,40036.193305,0,1,1,8,Melbourne,1520,29,19878.0952380952,0,0,0,0,0,Australia,1758,5634.225371711017,48087.69884130734
AUS,2008,21.249,38662.606129,4.23433,40036.193305,0,1,1,8,Sydney,856,57,16899.2421052632,0,0,0,0,0,Australia,1758,5634.225371711017,48087.69884130734
AUS,2009,21.692,37688.919485,5.560385,41538.258081,0,1,1,8,Melbourne,1179,46,11968,0,0,0,0,0,Australia,2063,5159.725741530436,47411.66530804088
AUS,2009,21.692,37688.919485,5.560385,41538.258081,0,1,1,8,Sydney,831,82,24111,0,0,0,0,0,Australia,2063,5159.725741530436,47411.66530804088
AUS,2010,22.032,39955.045883,5.21334,42755.68074,0,1,1,8,Melbourne,1066,72,19927,0,0,0,0,0,Australia,2041,4890.376829741768,59484.18361313262
AUS,2010,22.032,39955.045883,5.21334,42755.68074,0,1,1,8,Sydney,910,129,19680,0,0,0,0,0,Australia,2041,4890.376829741768,59484.18361313262
AUS,2011,22.34,42692.50173,5.081355,44340.570281,0,1,1,8,Melbourne,1066,48,19391,0,0,0,0,0,Australia,1745,4800.678259429355,56987.7054604004
AUS,2011,22.34,42692.50173,5.081355,44340.570281,0,1,1,8,Sydney,943,136,21161,0,0,0,0,0,Australia,1745,4800.678259429355,56987.7054604004
AUS,2012,22.728,43564.07389,5.224349,43809.9188,0,1,1,8,Melbourne,1297,77,27930,0,0,0,0,0,Australia,1942,4547.668668175676,55614.45782626048
AUS,2012,22.728,43564.07389,5.224349,43809.9188,0,1,1,8,Sydney,892,117,20040,0,0,0,0,0,Australia,1942,4547.668668175676,55614.45782626048
AUS,2013,23.126,45231.971754,5.663056,47678.929472,0,1,1,8,Sydney,1930,210,40500,0,0,0,1,0,Australia,1912,NA,NA
AUS,2014,23.491,47190.49763,6.078837,47551.004198,0,1,1,8,Melbourne,1000,200,21700,0,0,0,0,0,Australia,1645,NA,NA
AUS,2014,23.491,47190.49763,6.078837,47551.004198,0,1,1,8,Sydney,900,200,19800,0,0,0,0,0,Australia,1645,NA,NA
AUT,1996,7.959016,24237.157688,4.139831,24523.894617,1,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,Austria,5701,5398.67158422774,0
AUT,1997,7.968041,24791.779686,4.242406,25412.359688,1,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,Austria,5880,4770.064923959719,36132.762293884116
AUT,1998,7.976788,25559.155992,4.235766,26652.828948,1,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,Austria,6318,4403.546205974669,46496.38010574332
AUT,1999,7.992323,26579.739076,3.727968,27606.484243,1,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,Austria,7213,4340.2598379857245,31885.361088750316
